PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy
FE_SCS1:QE_D0746:V_RSET,V,V,readset,32,0.2052,FE_SCS1:QVE_D0746,4.72535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0746:V_RD,V,V,readback,32,0.2052,FE_SCS1:QVE_D0746,4.72535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_CSET,V,V,setpoint,34,0.2052,FE_SCS1:QHE_D0749,5.06035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_RSET,V,V,readset,34,0.2052,FE_SCS1:QHE_D0749,5.06035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0749:V_RD,V,V,readback,34,0.2052,FE_SCS1:QHE_D0749,5.06035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_LEBT:DH_D0759:I_CSET,I,B,setpoint,38,1.0,FE_LEBT:DH_D0759,6.40775413,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:DH_D0759:I_RSET,I,B,readset,38,1.0,FE_LEBT:DH_D0759,6.40775413,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:DH_D0759:I_RD,I,B,readback,38,1.0,FE_LEBT:DH_D0759,6.40775413,BEND,LIVE,"dipole-90deg, D5-2",BEND_D5,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0767:V_CSET,V,V,setpoint,40,0.2052,FE_LEBT:QVE_D0767,6.83535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0767:V_RSET,V,V,readset,40,0.2052,FE_LEBT:QVE_D0767,6.83535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0767:V_RD,V,V,readback,40,0.2052,FE_LEBT:QVE_D0767,6.83535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0770:V_CSET,V,V,setpoint,42,0.2052,FE_LEBT:QHE_D0770,7.17035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0770:V_RSET,V,V,readset,42,0.2052,FE_LEBT:QHE_D0770,7.17035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0770:V_RD,V,V,readback,42,0.2052,FE_LEBT:QHE_D0770,7.17035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC2_D0773:I_CSET,I,ANG,setpoint,44,0.0,FE_LEBT:DCH_D0773,7.36525413,HCOR,LIVE,horiz. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC2_D0773:I_RSET,I,ANG,readset,44,0.0,FE_LEBT:DCH_D0773,7.36525413,HCOR,LIVE,horiz. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC2_D0773:I_RD,I,ANG,readback,44,0.0,FE_LEBT:DCH_D0773,7.36525413,HCOR,LIVE,horiz. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC1_D0773:I_CSET,I,ANG,setpoint,44,0.0,FE_LEBT:DCV_D0773,7.36525413,VCOR,LIVE,vert. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC1_D0773:I_RSET,I,ANG,readset,44,0.0,FE_LEBT:DCV_D0773,7.36525413,VCOR,LIVE,vert. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PSC1_D0773:I_RD,I,ANG,readback,44,0.0,FE_LEBT:DCV_D0773,7.36525413,VCOR,LIVE,vert. corrector magnet,C4,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0776:V_CSET,V,V,setpoint,46,0.2052,FE_LEBT:QHE_D0776,7.76535413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0776:V_RSET,V,V,readset,46,0.2052,FE_LEBT:QHE_D0776,7.76535413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0776:V_RD,V,V,readback,46,0.2052,FE_LEBT:QHE_D0776,7.76535413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0780:V_CSET,V,V,setpoint,48,0.2052,FE_LEBT:QVE_D0780,8.10035413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0780:V_RSET,V,V,readset,48,0.2052,FE_LEBT:QVE_D0780,8.10035413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:QE_D0780:V_RD,V,V,readback,48,0.2052,FE_LEBT:QVE_D0780,8.10035413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PM_D0783:XCEN_RD,XCEN,XCEN,readback,50,0.0,FE_LEBT:PM_D0783,8.28933913,PM,LIVE,profile monitor (large fork),PM1,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PM_D0783:YCEN_RD,YCEN,YCEN,readback,50,0.0,FE_LEBT:PM_D0783,8.28933913,PM,LIVE,profile monitor (large fork),PM1,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
FE_LEBT:PM_D0783:XY_RD,XY,XY,readback,50,0.0,FE_LEBT:PM_D0783,8.28933913,PM,LIVE,profile monitor (large fork),PM1,DEFAULT,phantasy.sys.FE,phantasy.sub.LEBT,LEBT
