PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA02:DCH_D1165:I_CSET,I,ANG,setpoint,41,0,LS1_CA02:DCH_D1165,4.1584595,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCH_D1165:I_RSET,I,ANG,readset,41,0,LS1_CA02:DCH_D1165,4.1584595,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCH_D1165:I_RD,I,ANG,readback,41,0,LS1_CA02:DCH_D1165,4.1584595,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCV_D1165:I_CSET,I,ANG,setpoint,41,0,LS1_CA02:DCV_D1165,4.1584595,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCV_D1165:I_RSET,I,ANG,readset,41,0,LS1_CA02:DCV_D1165,4.1584595,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCV_D1165:I_RD,I,ANG,readback,41,0,LS1_CA02:DCV_D1165,4.1584595,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:PHA_CSET,PHA,PHASE,setpoint,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:PHA_RSET,PHA,PHASE,readset,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:PHA_RD,PHA,PHASE,readback,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:AMPL_CSET,AMP,AMPLITUDE,setpoint,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:AMPL_RSET,AMP,AMPLITUDE,readset,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV2_D1169:AMPL_RD,AMP,AMPLITUDE,readback,44,0.24,LS1_CA02:CAV2_D1169,4.6728645,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV3_D1176:PHA_CSET,PHA,PHASE,setpoint,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV3_D1176:PHA_RSET,PHA,PHASE,readset,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
